list-none-s,1,1000,1,3000,3722504,1240,50
list-none-m,1,1000,1,3000,3813147,1271,51
list-none-s,2,1000,1,6000,44792174,7465,7490
list-none-m,2,1000,1,6000,23020743,3836,3866
list-none-s,3,1000,1,9000,84191880,9354,18419
list-none-m,3,1000,1,9000,47901700,5322,10455
list-none-s,4,1000,1,12000,125828376,10485,31473
list-none-m,4,1000,1,12000,85060690,7088,20998
list-none-s,5,1000,1,15000,179252745,11950,47259
list-none-m,5,1000,1,15000,137776502,9185,35968
list-none-s,6,1000,1,18000,239347704,13297,65852
list-none-m,6,1000,1,18000,218190476,12121,60034
list-none-s,7,1000,1,21000,345924938,16472,96482
list-none-m,7,1000,1,21000,297648439,14173,81965
list-none-s,8,1000,1,24000,480851172,20035,137894
list-none-m,8,1000,1,24000,408465953,17019,117487
list-none-s,10,1000,1,30000,797381048,26579,233849
list-none-m,10,1000,1,30000,687457749,22915,195078
list-none-s,12,1000,1,36000,1225624898,34045,371064
list-none-m,12,1000,1,36000,981947089,27276,288101
list-none-s,14,1000,1,42000,1757288871,41840,537174
list-none-m,14,1000,1,42000,1584974156,37737,482939
list-none-s,16,1000,1,48000,2422918317,50477,749767
list-none-m,16,1000,1,48000,2060420956,42925,600189
list-none-s,18,1000,1,54000,3287155438,60873,1028551
list-none-m,18,1000,1,54000,2786288436,51597,817263
list-none-s,20,1000,1,60000,4426047371,73767,1393939
list-none-m,20,1000,1,60000,3287875631,54797,973242
list-none-s,22,1000,1,66000,4786983919,72530,1417948
list-none-m,22,1000,1,66000,4130651166,62585,1179411
list-none-s,24,1000,1,72000,4622050959,64195,1215761
list-none-m,24,1000,1,72000,4246778116,58983,1191012
